TT,ID,As,Fe,Mn,pH,Hardness,Coliforms,EC,X,Y,YLat,XLong,X-WGS84,Y-WGS84,Iddist
282,NN_CJ119,1.473,0.0048,0.001,6.5,119,0.1,360,431885.4939,1400170.747,12.6601,107.875,1401586.589,160512.2092,CJ
153,NN_CJ12,2.006,0.0007,0.005,7.9,190,40,560,425758.2942,1405096.614,12.7045,107.8182,1406576.428,154394.7287,CJ
293,NN_CJ120,1.774,0.1932,0.113,7.1,174,28,460,432637.9471,1400645.246,12.6644,107.8816,1402054.359,161238.7994,CJ
288,NN_CJ121,1.779,0.016,0.027,7.6,174,0.1,453,432813.1183,1400715.507,12.6651,107.8832,1402123.012,161414.8226,CJ
279,NN_CJ122,1.492,0.061,0.208,7.4,151,90,390,432698.2861,1400642.03,12.6644,107.8822,1402050.562,161299.169,CJ
89,NN_CJ123,0.503,0.0052,0.075,6.1,39,0.1,110,432272.508,1400501.691,12.6631,107.8783,1401914.161,160871.6114,CJ
246,NN_CJ124,1.696,0.0737,0.005,8,41,40,430,425309.3266,1398546.354,12.6453,107.8142,1400023.493,153882.4231,CJ
234,NN_CJ125,1.956,0.0007,0.001,7.2,35,70,540,425254.365,1394852.875,12.6119,107.8138,1396326.592,153792.0856,CJ
191,NN_CJ126,1.022,0.0007,0.001,6.7,110,200,280,426094.3743,1403362.613,12.6888,107.8214,1404837.353,154718.3019,CJ
115,NN_CJ13,1.967,0.0007,0.12,7.3,159,0.1,520,426545.1592,1407325.493,12.7247,107.8254,1408800.099,155203.8839,CJ
163,NN_CJ14,1.604,0.3149,1.13,7.1,320,700,790,424495.6141,1407991.577,12.7306,107.8065,1409486.641,153158.5733,CJ
507,NN_CJ15,1.289,0.0007,0.001,6.2,104,900,240,427072.4679,1404752.103,12.7014,107.8303,1406218.913,155706.9819,CJ
508,NN_CJ16,0.54,0.0007,0.001,7.6,80,2300,592,436973.0009,1394824.555,12.6119,107.9217,1396186.346,165522.5171,CJ
509,NN_CJ17,1.117,0.0007,0.001,7.6,53,4300,132,436958.0065,1394867.608,12.6123,107.9215,1396229.585,165507.9189,CJ
510,NN_CJ18,0.401,0.0348,0.001,7.3,33,200,91,436865.071,1395147.441,12.6148,107.9206,1396510.582,165414.8913,CJ
134,NN_CJ19,0.685,0.006,0.005,7.3,69,150,179,436726.2829,1395163.113,12.615,107.9194,1396527.595,165278.7874,CJ
504,NN_CJ2,1.484,0.02,0.005,7.4,81,40,370,428909.1249,1404495.452,12.6992,107.8472,1405944.334,157543.0983,CJ
87,NN_CJ20,1.547,2.09,0.376,7.2,140,1100,520,436338.7257,1394595.502,12.6098,107.9158,1395963.121,164885.4257,CJ
33,NN_CJ21,1.545,0.6247,0.264,6.7,90,400,520,435885.3032,1394270.798,12.6069,107.9117,1395642.422,164431.5516,CJ
128,NN_CJ23,1.614,0.0195,0.006,7.3,215,400,569,435713.5907,1394409.462,12.6081,107.9101,1395782.863,164257.8918,CJ
68,NN_CJ24,1.652,0.0382,0.037,6.7,184,70,435,434610.759,1395170.962,12.615,107.8999,1396555.656,163161.2252,CJ
563,NN_CJ25,1.526,0.0021,0.001,7.2,132,0.1,375,434468.2475,1394879.369,12.6123,107.8986,1396265.13,163015.7857,CJ
149,NN_CJ27,1.423,0.1042,0.025,8,87,150,382,425842.204,1394596.29,12.6096,107.8192,1396064.12,154378.1019,CJ
147,NN_CJ28,1.614,0.08,0.018,7.3,43,90,420,429950.7007,1391316.372,12.58,107.8571,1392741.573,158459.6402,CJ
173,NN_CJ29,2.124,0.4101,0.233,7.4,249,40,663,430029.109,1391288.525,12.5798,107.8578,1392712.95,158537.8646,CJ
505,NN_CJ3,1.309,0.021,0.005,7,72,200,360,428544.0776,1404496.372,12.6992,107.8439,1405948.764,157177.6787,CJ
232,NN_CJ30,2.046,0.0501,0.008,7.3,263,90,643,429679.3399,1391433.808,12.5811,107.8546,1392861.716,158189.1161,CJ
205,NN_CJ31,1.628,0.69,0.08,7.3,227,1100,551,429989.3742,1391085.813,12.578,107.8575,1392510.406,158499.4725,CJ
154,NN_CJ33,1.563,0.0344,0.001,8.5,107,70,402,424752.7665,1394620.655,12.6098,107.8092,1396098.913,153287.7326,CJ
17,NN_CJ34,1.51,0.0298,0.004,6.5,155,70,390,434293.074,1392200.255,12.5881,107.8973,1393584.987,162843.2203,CJ
24,NN_CJ35,1.057,0.1226,0.069,6.6,81,40,260,434260.6279,1393838.153,12.6029,107.8967,1395224.847,162798.0185,CJ
511,NN_CJ36,1.218,0.133,0.031,6.6,135,70,310,434608.0571,1392675.822,12.5924,107.8999,1394058.031,163134.712,CJ
248,NN_CJ37,1.876,0.1566,0.09,6.7,149,90,520,434114.7948,1392111.553,12.5873,107.8954,1393497.895,162635.574,CJ
512,NN_CJ39,1.121,0.0241,0.06,6,115,400,330,434260.7651,1392587.507,12.5916,107.8967,1393972.938,162786.2281,CJ
117,NN_CJ4,1.574,0.0007,0.001,7,156,0.1,390,427967.7907,1404476.322,12.6989,107.8368,1405934.234,156415.1474,CJ
122,NN_CJ40,1.727,0.0007,0.004,7.5,125,200,510,429095.9351,1404399.724,12.6983,107.8479,1405846.71,157611.5613,CJ
513,NN_CJ42,0.838,0.0007,0.001,6.6,69,150,220,429181.8733,1403778.785,12.6927,107.8497,1405224.298,157809.2427,CJ
245,NN_CJ43,1.75,0.0007,0.001,7.5,130,0.1,440,429123.4492,1404544.081,12.6996,107.8492,1405990.953,157758.1136,CJ
194,NN_CJ45,1.839,0.0393,0.034,7.5,190,150,540,427868.2478,1404482.722,12.699,107.8376,1405941.597,156501.0095,CJ
213,NN_CJ47,1.671,0.0279,0.006,7,172,70,440,426899.7902,1404475.988,12.6989,107.8287,1405944.167,155531.467,CJ
514,NN_CJ49,0.925,0.0234,0.001,6.1,99,110,240,427443.9408,1403727.872,12.6922,107.8337,1405190.032,156069.001,CJ
150,NN_CJ5,1.649,0.0949,0.014,7.4,307,900,860,428808.1537,1407528.656,12.7266,107.8462,1408981.674,157471.2139,CJ
